"Reference","Qty","Value","Exclude from BOM","Exclude from Board","Footprint","Manufacturer Part Number"
"C1","1","22u","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","EWH1EM220D11OT"
"C2","1","220u","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","RD1A227M05011BB"
"C3","1","1u","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","CL31B105KBHNNNE"
"C4","1","100n","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","CL31B104KBCNNNC"
"C5","1","10u","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","CL31A106KBHNNNE"
"D1,D2,D3,D5","4","LED","","","LED_THT:LED_D5.0mm",""
"D4","1","11DQ06","","","Diode_THT:D_DO-41_SOD81_P12.70mm_Horizontal","11DQ06TA"
"H1,H2,H3,H4","4","MountingHole","Excluded from BOM","","MountingHole:MountingHole_5.5mm",""
"J1","1","Screw_Terminal_01x02","","","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type011_RT05502HBLC_1x02_P5.00mm_Horizontal","DG301-5.0-02P-12-00A(H)"
"L1","1","330u","","","Inductor_THT:L_Radial_D7.2mm_P3.00mm_Murata_1700","COIL0608-0.33"
"R1,R2,R3,R4","4","4k7","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R5,R6,R8,R13,R14,R16,R17,R18","8","2k","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"R7,R9,R10,R11,R12,R15","6","10k","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"R19,R20","2","47k","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"SW1","1","~","","","Button_Switch_THT:SW_PUSH_6mm_H4.3mm",""
"SW2","1","~","","","Button_Switch_THT:SW_Slide_SPDT_Straight_CK_OS102011MS2Q",""
"U1","1","LM2574N-5","","","Package_DIP:DIP-8_W7.62mm",""
"U2","1","74LS47","","","Package_DIP:DIP-16_W7.62mm_Socket_LongPads",""
"U3,U4","2","4027","","","Package_DIP:DIP-16_W7.62mm_Socket_LongPads",""
"U5","1","HDSP-7401","","","Display_7Segment:HDSP-7401",""
"U6","1","74LVC1G11","","","Package_TO_SOT_SMD:SOT-23-6",""
"U7","1","NE555P","","","Package_DIP:DIP-8_W7.62mm",""
